Instrument ID:HP3458A
120710 00 00 0
120712 00 00 0
120714 3F F0 16368
120716 00 00 0
120718 00 00 0
12071A 00 00 0
12071C 3F F0 16368
12071E 00 00 0
120720 00 00 0
120722 00 00 0
120724 00 00 0
120726 00 00 0
120728 00 00 0
12072A 00 00 0
12072C 00 00 0
12072E 00 00 0
120730 00 00 0
120732 00 00 0
120734 00 0A 10
120736 FF FF -1
120738 FF FF -1
12073A 00 00 0
12073C 04 00 1024
12073E 0A 38 2616
120740 00 00 0
120742 00 02 2
120744 00 07 7
120746 01 00 256
120748 00 00 0
12074A 01 00 256
12074C 00 55 85
12074E 00 00 0
120750 00 00 0
120752 00 00 0
120754 00 00 0
120756 00 00 0
120758 00 00 0
12075A 00 00 0
12075C 01 78 376
12075E BF F0 -16400
120760 00 00 0
120762 00 00 0
120764 00 00 0
120766 00 01 1
120768 00 01 1
12076A 00 19 25
12076C 6E 6E 28270
12076E 00 00 0
120770 00 00 0
120772 14 BA 5306
120774 00 00 0
120776 00 83 131
120778 00 12 18
12077A 07 80 1920
12077C 00 12 18
12077E 07 86 1926
120780 53 48 21320
120782 4F 52 20306
120784 54 2C 21548
120786 46 55 18005
120788 4C 4C 19532
12078A 2C 00 11264
12078C 00 00 0
12078E 00 00 0
120790 00 00 0
120792 00 00 0
120794 00 00 0
120796 00 00 0
120798 00 00 0
12079A 00 00 0
12079C 00 00 0
12079E 00 00 0
1207A0 00 00 0
1207A2 00 00 0
1207A4 00 00 0
1207A6 00 00 0
1207A8 00 00 0
1207AA 00 00 0
1207AC 00 00 0
1207AE 00 00 0
1207B0 00 00 0
1207B2 00 00 0
1207B4 00 00 0
1207B6 00 00 0
1207B8 00 00 0
1207BA 00 00 0
1207BC 00 00 0
1207BE 00 00 0
1207C0 00 00 0
1207C2 00 00 0
1207C4 00 00 0
1207C6 00 00 0
1207C8 00 00 0
1207CA 00 00 0
1207CC 00 00 0
1207CE 00 00 0
1207D0 00 00 0
1207D2 00 00 0
1207D4 00 00 0
1207D6 00 00 0
1207D8 00 00 0
1207DA 00 00 0
1207DC 00 00 0
1207DE 00 00 0
1207E0 00 00 0
1207E2 00 00 0
1207E4 00 00 0
1207E6 00 00 0
1207E8 00 00 0
1207EA 00 00 0
1207EC 00 00 0
1207EE 00 00 0
1207F0 00 00 0
1207F2 00 00 0
1207F4 00 00 0
1207F6 00 00 0
1207F8 00 00 0
1207FA 00 00 0
1207FC 00 00 0
1207FE 00 00 0
120800 00 00 0
120802 00 00 0
120804 00 00 0
120806 00 00 0
120808 00 00 0
12080A 00 00 0
12080C 00 00 0
12080E 00 00 0
120810 00 00 0
120812 00 00 0
120814 00 00 0
120816 00 00 0
120818 00 00 0
12081A 00 00 0
12081C 00 00 0
12081E 00 00 0
120820 00 00 0
120822 00 00 0
120824 00 00 0
120826 00 00 0
120828 00 00 0
12082A 00 00 0
12082C 00 00 0
12082E 00 00 0
120830 00 00 0
120832 00 00 0
120834 00 00 0
120836 00 00 0
120838 00 00 0
12083A 00 00 0
12083C 00 00 0
12083E 00 00 0
120840 00 00 0
120842 00 00 0
120844 00 00 0
120846 00 00 0
120848 00 00 0
12084A 00 00 0
12084C 00 00 0
12084E 00 00 0
120850 00 00 0
120852 00 00 0
120854 00 00 0
120856 00 00 0
120858 00 00 0
12085A 00 00 0
12085C 00 00 0
12085E 00 00 0
120860 00 00 0
120862 00 00 0
120864 00 00 0
120866 00 00 0
120868 00 00 0
12086A 00 00 0
12086C 00 00 0
12086E 00 00 0
120870 00 00 0
120872 00 00 0
120874 00 00 0
120876 00 00 0
120878 00 00 0
12087A 00 00 0
12087C 00 00 0
12087E 00 00 0
120880 00 00 0
120882 00 00 0
120884 00 00 0
120886 00 00 0
120888 00 00 0
12088A 00 00 0
12088C 00 00 0
12088E 00 00 0
120890 00 00 0
120892 00 00 0
120894 00 00 0
120896 00 00 0
120898 00 00 0
12089A 00 00 0
12089C 00 00 0
12089E 00 00 0
1208A0 00 00 0
1208A2 00 00 0
1208A4 00 00 0
1208A6 00 00 0
1208A8 00 00 0
1208AA 00 00 0
1208AC 00 00 0
1208AE 00 00 0
1208B0 00 00 0
1208B2 00 00 0
1208B4 00 00 0
1208B6 00 00 0
1208B8 00 00 0
1208BA 00 00 0
1208BC 00 00 0
1208BE 00 00 0
1208C0 00 00 0
1208C2 00 00 0
1208C4 00 00 0
1208C6 00 00 0
1208C8 00 00 0
1208CA 00 00 0
1208CC 00 00 0
1208CE 00 00 0
1208D0 00 00 0
1208D2 00 00 0
1208D4 00 00 0
1208D6 00 00 0
1208D8 00 00 0
1208DA 00 00 0
1208DC 00 00 0
1208DE 00 00 0
1208E0 00 00 0
1208E2 00 00 0
1208E4 00 00 0
1208E6 00 00 0
1208E8 00 00 0
1208EA 00 00 0
1208EC 00 00 0
1208EE 00 00 0
1208F0 00 00 0
1208F2 00 00 0
1208F4 00 00 0
1208F6 00 00 0
1208F8 00 00 0
1208FA 00 00 0
1208FC 00 00 0
1208FE 00 00 0
120900 00 00 0
120902 00 00 0
120904 00 00 0
120906 00 00 0
120908 00 00 0
12090A 00 00 0
12090C 00 00 0
12090E 00 00 0
120910 00 00 0
120912 00 00 0
120914 00 00 0
120916 00 00 0
120918 00 00 0
12091A 00 00 0
12091C 00 00 0
12091E 00 00 0
120920 00 00 0
120922 00 00 0
120924 00 00 0
120926 00 00 0
120928 00 00 0
12092A 00 00 0
12092C 00 00 0
12092E 00 00 0
120930 00 00 0
120932 00 00 0
120934 00 00 0
120936 00 00 0
120938 00 00 0
12093A 00 00 0
12093C 00 00 0
12093E 00 00 0
120940 00 00 0
120942 00 00 0
120944 00 00 0
120946 00 00 0
120948 00 00 0
12094A 00 00 0
12094C 00 00 0
12094E 00 00 0
120950 00 00 0
120952 00 00 0
120954 00 00 0
120956 00 00 0
120958 00 00 0
12095A 00 00 0
12095C 00 00 0
12095E 00 00 0
120960 00 00 0
120962 00 00 0
120964 00 00 0
120966 00 00 0
120968 00 00 0
12096A 00 00 0
12096C 00 00 0
12096E 00 00 0
120970 00 00 0
120972 00 00 0
120974 00 00 0
120976 00 00 0
120978 00 00 0
12097A 00 00 0
12097C 00 00 0
12097E 00 00 0
120980 00 00 0
120982 82 FE -32002
120984 00 00 0
120986 8C 46 -29626
120988 00 CB 203
12098A 00 00 0
12098C 00 02 2
12098E 00 00 0
120990 6A 28 27176
120992 00 00 0
120994 4E 55 20053
120996 20 00 8192
120998 00 4C 76
12099A 4C 0A 19466
12099C 00 0A 10
12099E 00 00 0
1209A0 30 30 12336
1209A2 30 30 12336
1209A4 30 30 12336
1209A6 0A 00 2560
1209A8 42 2A 16938
1209AA 36 8E 13966
1209AC 00 00 0
1209AE 00 00 0
1209B0 00 00 0
1209B2 00 00 0
1209B4 48 63 18531
1209B6 FF ED -19
1209B8 FE 0C -500
1209BA E1 D2 -7726
1209BC 00 00 0
1209BE 00 40 64
1209C0 00 00 0
1209C2 00 00 0
1209C4 00 7C 124
1209C6 8A BE -30018
1209C8 4F B5 20405
1209CA A9 71 -22159
1209CC 00 00 0
1209CE 00 00 0
1209D0 00 00 0
1209D2 00 00 0
1209D4 29 06 10502
1209D6 10 92 4242
1209D8 93 5A -27814
1209DA 61 3B 24891
1209DC 00 00 0
1209DE 00 00 0
1209E0 00 00 0
1209E2 00 00 0
1209E4 0C 10 3088
1209E6 6B BD 27581
1209E8 29 FE 10750
1209EA BA C7 -17721
1209EC 00 00 0
1209EE 00 00 0
1209F0 00 00 0
1209F2 00 00 0
1209F4 B0 C1 -20287
1209F6 5F E4 24548
1209F8 F1 FB -3589
1209FA 10 90 4240
1209FC 00 00 0
1209FE 00 04 4
120A00 00 00 0
120A02 00 00 0
120A04 CB 21 -13535
120A06 9F AA -24662
120A08 B0 05 -20475
120A0A C0 B4 -16204
120A0C 00 00 0
120A0E 00 00 0
120A10 00 00 0
120A12 00 00 0
120A14 00 00 0
120A16 00 21 33
120A18 00 00 0
120A1A 00 00 0
120A1C 05 00 1280
120A1E 20 20 8224
120A20 20 2E 8238
120A22 20 20 8224
120A24 20 20 8224
120A26 20 20 8224
120A28 20 20 8224
120A2A 56 20 22048
120A2C 44 43 17475
120A2E 20 20 8224
120A30 20 20 8224
120A32 20 20 8224
120A34 20 20 8224
120A36 20 20 8224
120A38 20 20 8224
120A3A 20 20 8224
120A3C 20 20 8224
120A3E 20 20 8224
120A40 20 20 8224
120A42 20 20 8224
120A44 20 20 8224
120A46 20 20 8224
120A48 20 20 8224
120A4A 20 20 8224
120A4C 20 20 8224
120A4E 20 20 8224
120A50 20 20 8224
120A52 20 20 8224
120A54 20 20 8224
120A56 20 20 8224
120A58 20 20 8224
120A5A 20 20 8224
120A5C 20 20 8224
120A5E 20 20 8224
120A60 20 20 8224
120A62 20 20 8224
120A64 20 20 8224
120A66 20 20 8224
120A68 20 20 8224
120A6A 20 20 8224
120A6C 20 20 8224
120A6E 20 20 8224
120A70 20 20 8224
120A72 20 20 8224
120A74 20 20 8224
120A76 20 20 8224
120A78 20 20 8224
120A7A 20 20 8224
120A7C 20 20 8224
